时间/s,瓶颈占有率/%,下游占有率/%,瓶颈平均车速/（km/h),下游平均车速/（km/h),下游通过量/veh
20,0,0,99.972,99.972,0
40,1.555926064,0,97.8264806,99.972,0
60,0.97095783,0.011402917,94.76268669,100.0029894,1
80,1.747881767,0.558956881,97.82887818,97.0481168,7
100,0.933167932,1.020202958,96.37211446,97.30737087,6
120,0.869986438,0.921885481,102.2820587,98.12283689,6
140,2.393238658,1.384330082,92.85891009,99.56740972,6
160,1.994276766,0.664706132,92.22862858,100.1643434,3
180,3.437538599,1.092919798,100.1246351,93.8552285,6
200,3.358120268,2.236045324,94.23213197,97.1751777,11
220,6.770190859,2.441662052,92.79976993,100.3976801,14
240,6.67098709,4.804154822,92.86297621,95.58539781,24
260,7.407865158,6.782791657,92.24802755,94.88147428,42
280,5.170808773,7.633717765,94.77425133,90.4302792,40
300,3.870242943,9.969268508,91.2438193,90.71275167,52
320,6.205586233,6.949441761,93.58201854,93.51320652,37
340,6.744044999,4.623945891,90.18961153,93.00816147,25
360,6.086184029,6.624891174,89.74281718,91.37931027,37
380,6.612434949,9.980480613,91.79418009,91.0760693,47
400,9.039234621,7.407268898,90.55816249,88.986744,41
420,6.883165301,8.295408805,88.29915929,92.49738078,39
440,7.434023889,8.014731526,86.6606986,92.02482155,49
460,8.857133569,7.239313519,85.41613801,90.68430745,34
480,7.424713769,8.8653479,87.76692376,87.61128296,45
500,8.011490948,11.19555672,85.13082489,84.23416146,54
520,8.593413159,11.08392272,87.01790408,86.06921072,56
540,8.968806143,8.426072552,86.3692145,87.89161964,44
560,7.619647143,10.20299899,85.42765195,88.33414757,48
580,8.571676971,10.34527684,84.84814451,86.77213211,52
600,7.951824278,6.7585465,86.27615871,86.96402673,38
620,8.478910673,8.962293364,85.57491365,84.4546043,52
640,8.153695722,9.887923652,84.38653034,85.76470607,52
660,9.947935558,10.73049848,81.29592505,82.13457748,52
680,8.853334127,9.823195026,78.98614195,85.28306523,46
700,10.12629059,9.838971521,80.53807011,84.85485489,50
720,8.43423595,12.52133085,78.14353043,83.38734389,59
740,9.658920907,11.47679577,79.49501257,80.3824735,51
760,10.19115152,11.54475911,77.7324354,80.17054651,56
780,9.682875209,9.452323144,75.60513654,80.34852163,41
800,9.895018774,9.567954714,78.18731956,79.49237885,49
820,9.404135063,11.56351772,76.31188527,75.09081765,49
840,9.023264327,12.94122267,72.78695795,80.56490023,59
860,10.57022371,11.50614736,73.41179224,77.88594808,57
880,10.85469279,11.75586768,74.97638323,77.59961105,58
900,10.71183077,11.7697647,67.93495698,77.45641192,53
920,11.35578678,11.67348067,75.02756517,79.56839008,58
940,8.630081894,12.00007172,74.14178027,80.91001589,58
960,15.18471201,11.53615193,58.02737189,78.8805407,53
980,12.79926342,11.76484376,45.80900001,81.11788288,55
1000,25.49177372,12.13079371,48.0984933,79.14040749,59
1020,18.23542445,11.86890756,58.18669986,79.80578409,56
1040,14.93945865,11.21246638,60.14509145,79.80371794,50
1060,13.29673699,12.2654208,56.21935907,79.92239645,55
1080,9.810753912,12.10695383,57.13463036,78.30100426,56
1100,10.50127673,12.03211873,66.20218169,76.8297929,48
1120,9.170877859,13.11473924,61.43871829,74.88391857,53
1140,11.31137001,11.67323389,57.92357319,76.96642284,52
1160,11.00965655,13.51610728,56.63707989,79.91337863,50
1180,11.59996201,12.3224539,51.15954777,76.03557093,54
1200,11.33296784,12.90337236,57.5821844,76.79650347,52
1220,10.96430351,13.37771772,58.92075706,73.29091593,53
1240,12.17510882,12.08229804,49.22389853,75.13614563,54
1260,11.68660671,10.91217162,42.79882676,73.29940109,49
1280,26.3450162,10.85714124,42.25775383,75.99048499,50
1300,18.99432863,11.4104416,53.54806201,72.30027878,52
1320,16.95100282,12.05043712,46.0354061,73.06717437,53
1340,17.64353105,11.90879359,50.54853837,75.56823411,51
1360,15.19100536,10.74283853,52.90918883,76.2751974,55
1380,14.04218671,12.05430204,51.09200431,80.66333552,56
1400,16.47406881,11.54632769,41.68308515,79.67189498,56
1420,18.42834819,11.17385658,30.62076954,78.24340748,57
1440,35.03424145,12.11755398,39.78301946,75.85061296,56
1460,16.57874683,10.70702988,54.40560399,77.1330625,53
1480,14.73978046,9.924997631,45.03008619,82.12938936,50
1500,24.77580111,11.17818792,31.432982,80.22190498,58
1520,21.38330427,10.53011339,38.02988275,79.14821843,52
1540,14.96868418,10.79872688,57.91627606,75.23142924,49
1560,15.17018857,11.5905571,54.4150736,74.57715349,55
1580,15.7004023,11.54801959,38.99233132,74.19313231,54
1600,25.89398416,12.59896097,32.27298837,75.06228497,54
1620,47.51989922,8.895904325,43.55339941,73.45052196,48
