时间/s,瓶颈占有率/%,下游占有率/%,瓶颈平均车速/（km/h),下游平均车速/（km/h),下游通过量/veh
20,0,0,99.972,99.972,0
40,1.555926064,0,97.8264806,99.972,0
60,2.54907702,0.011402917,94.92134896,100.0029894,1
80,1.724838453,0.558956881,97.429238,97.05147911,7
100,2.707544871,0.918869272,96.7904588,97.30134297,7
120,0.74224814,1.002595219,102.1767242,97.11992162,6
140,1.579173977,1.237612461,93.17063023,100.1619484,7
160,0.975080797,0.654185249,91.13642433,100.5720542,3
180,3.77488286,0.765595565,101.0622917,94.03572554,7
200,2.623684835,1.662003798,94.41074759,97.79500011,11
220,6.771102765,2.678836039,92.00395042,102.5265421,16
240,7.567987583,4.635097351,91.99100357,95.77545348,22
260,6.764927029,7.273561718,91.95630938,95.21774563,41
280,5.476715344,8.024366095,95.9511574,93.29232045,43
300,4.670725047,9.144711553,91.97512973,93.84627427,48
320,6.557687027,5.831098809,94.55650969,96.20110839,32
340,8.454593231,4.315912235,87.76009649,94.66949336,25
360,6.06518543,6.298182713,92.5697348,94.64801289,35
380,5.238572575,9.876344703,92.43152182,90.89897801,47
400,7.103980625,8.652356102,87.09551638,87.63964697,41
420,7.354349108,6.468362816,89.61948076,91.66366342,37
440,9.818566689,7.865642564,86.35087768,90.12847954,41
460,8.235439091,8.476952916,84.70942427,87.87154622,46
480,9.010093586,10.35918592,82.62030119,89.1365145,50
500,7.661280866,10.6607968,83.76658135,87.1059491,58
520,6.937304094,8.600983798,84.96218101,88.27003604,47
540,9.941390825,9.65225272,86.55578178,87.97514741,49
560,9.14954452,7.633173973,89.69382594,89.07654424,52
580,6.900254678,10.70774364,87.56112076,87.74821764,47
600,8.086312238,8.063278583,87.16229786,88.96025494,41
620,7.904489267,10.1480609,84.93080268,86.71187348,53
640,7.652100172,8.83606736,85.99636407,86.68790054,45
660,10.19349853,7.519732035,79.13669801,83.66871758,41
680,8.427673311,9.75559507,79.40816337,84.56964553,50
700,10.61771859,9.300787947,73.51054654,83.74599374,44
720,9.656799342,10.51092268,76.25226596,81.95124941,52
740,9.246002167,11.38754292,83.92438964,81.30890354,62
760,7.506257617,13.1095573,79.80302476,79.59545784,53
780,10.71518963,10.66047011,77.88148157,81.29953657,51
800,9.739669437,9.065142456,80.82082077,81.62387818,47
820,9.811910175,12.04758773,71.3114558,77.41054223,57
840,10.72129048,11.73608702,74.5652419,78.18664501,49
860,11.30665193,12.30612583,70.27795833,79.40171387,55
880,8.339269784,12.63606926,64.43875478,75.87273535,60
900,11.19333189,11.70068884,65.62445838,76.99266232,55
920,11.01291598,11.11111605,69.20570918,77.76784096,52
940,9.694897933,10.30992442,70.70728844,80.64593795,54
960,12.3503264,11.4164297,69.38408886,76.84902926,53
980,11.05878591,11.17842439,63.7792742,75.53730029,54
1000,12.00176059,11.4856556,61.01615939,80.18966996,56
1020,9.816206743,12.63330315,54.29471641,81.62826116,61
1040,11.40775839,11.48608933,59.48877144,77.71005476,59
1060,12.38361823,13.41101178,61.40380095,75.96781373,60
1080,11.73852233,12.13569208,56.61367287,72.6492759,56
1100,11.72796681,12.89200718,49.56142302,72.14177824,61
1120,18.22729818,14.2412015,42.27892711,73.05922994,57
1140,17.46121544,11.67029821,51.1163278,76.61065622,58
1160,17.39732828,13.11010504,55.18933277,77.86961857,60
1180,14.50128641,12.11633936,56.54464828,78.34103745,61
1200,11.45552621,12.79397794,49.32529036,77.44867479,59
1220,12.24476802,13.10067777,43.63374017,77.45567278,60
1240,10.65698613,13.25731394,34.21406214,74.05267078,63
1260,17.40258842,12.39732464,43.70600187,76.69290685,58
1280,15.24622038,10.98758762,60.12135751,77.19419171,52
1300,14.91362921,11.33147506,56.83049849,76.23009009,56
1320,11.7734111,11.97147951,52.43681359,71.72243773,56
1340,13.36834199,13.45914416,41.75550934,71.33061223,59
1360,13.61731796,13.4803322,34.29967901,74.84662229,59
1380,39.65110624,13.13609973,35.56448416,77.17738594,59
1400,16.31606328,12.70051528,54.16845113,76.88894269,58
1420,16.43068376,10.74391128,54.05985502,82.49477134,58
1440,17.41062181,11.6533896,41.25860609,77.37756692,54
1460,15.75320055,11.69512499,38.92963989,72.2925619,54
1480,20.64398649,14.52584446,34.76116962,73.44853264,56
1500,31.54596839,11.74079462,38.28545132,76.84787555,57
1520,18.5774296,11.69717453,52.54332869,77.17527798,57
1540,15.1349595,11.82270344,46.6468566,78.19782182,51
1560,39.10400737,12.52012182,37.03723283,74.1141909,60
1580,22.60229353,14.49818546,50.68486781,74.23188705,57
1600,14.92582691,11.07269377,55.28010572,72.35570469,53
1620,23.75780094,12.22172888,39.20043104,72.98213897,53
